"","Albany.County.NY","Allegany.County.NY","Bronx.County.NY","Broome.County.NY","Cattaraugus.County.NY","Cayuga.County.NY","Chautauqua.County.NY","Chemung.County.NY","Chenango.County.NY","Clinton.County.NY","Columbia.County.NY","Cortland.County.NY","Delaware.County.NY","Dutchess.County.NY","Erie.County.NY","Essex.County.NY","Franklin.County.NY","Fulton.County.NY","Genesee.County.NY","Greene.County.NY","Hamilton.County.NY","Herkimer.County.NY","Jefferson.County.NY","Kings.County.NY","Lewis.County.NY","Livingston.County.NY","Madison.County.NY","Monroe.County.NY","Montgomery.County.NY","Nassau.County.NY","New.York.County.NY","Niagara.County.NY","Oneida.County.NY","Onondaga.County.NY","Ontario.County.NY","Orange.County.NY","Orleans.County.NY","Oswego.County.NY","Otsego.County.NY","Putnam.County.NY","Queens.County.NY","Rensselaer.County.NY","Richmond.County.NY","Rockland.County.NY","St..Lawrence.County.NY","Saratoga.County.NY","Schenectady.County.NY","Schoharie.County.NY","Schuyler.County.NY","Seneca.County.NY","Steuben.County.NY","Suffolk.County.NY","Sullivan.County.NY","Tioga.County.NY","Tompkins.County.NY","Ulster.County.NY","Warren.County.NY","Washington.County.NY","Wayne.County.NY","Westchester.County.NY","Wyoming.County.NY","Yates.County.NY"
"1810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1812",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1815",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"1816",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1819",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
