"GEOID","NAME","acs","census","pep","lon","lat","worldpop","fb"
"20171","Scott County, Kansas",4832,4936,4959,-100.902092904721,38.4821553621334,4930.25880227341,4787.12575125599
"20173","Sedgwick County, Kansas",486123,498365,499128,-97.4692195647802,37.6653498625699,500107.389991904,517358.101371447
"20175","Seward County, Kansas",22588,22952,22970,-100.846797189944,37.1949898802902,22956.4816822228,22746.7285322969
"20177","Shawnee County, Kansas",175537,177934,178360,-95.7644787408717,39.0418164363813,177966.760401734,180157.683692627
"20179","Sheridan County, Kansas",2578,2556,2530,-100.438675307812,39.3575243008695,2533.25431334341,2384.87232248792
"20181","Sherman County, Kansas",6002,6010,6018,-101.718203693056,39.3558686755889,6005.2521069837,5550.43217931865
"20183","Smith County, Kansas",3934,3853,3860,-98.7879431698089,39.7829481103392,3875.39572643418,3506.86818462223
"20185","Stafford County, Kansas",4433,4437,4429,-98.7171581655794,38.0242511654898,4415.16348797153,4195.91435080046
"20187","Stanton County, Kansas",2197,2235,2246,-101.784923492866,37.5614019801665,2232.35808879999,2095.31078339102
"20189","Stevens County, Kansas",5533,5724,5752,-101.311833345958,37.1960345250964,5718.484007137,5768.32661756422
"20191","Sumner County, Kansas",24257,24132,24118,-97.4902413859144,37.223965670709,23736.1686857611,22962.9982864665
"20193","Thomas County, Kansas",7757,7900,7930,-101.048052915609,39.3616554517157,7952.58978447906,7686.47297522984
"20195","Trego County, Kansas",2979,3001,3006,-99.8765664700623,38.9185404713464,3004.1410592286,2822.13319570059
"20197","Wabaunsee County, Kansas",7004,7053,7049,-96.2064903313326,38.9404661781165,7472.87754274518,7023.0460865524
"20199","Wallace County, Kansas",1440,1485,1480,-101.763367271281,38.915559164545,1480.02390488921,1350.97988524631
"20201","Washington County, Kansas",5851,5799,5785,-97.092124282497,39.7784235410889,5813.83866192316,5413.67098614582
"20203","Wichita County, Kansas",2244,2234,2239,-101.344250486117,38.4781161836012,2233.67573282652,2063.49583250651
"20205","Wilson County, Kansas",9598,9409,9389,-95.7535313853257,37.5595324200282,9422.95551980787,8773.89111224116
"20207","Woodson County, Kansas",3352,3309,3308,-95.749938913179,37.8814556841358,3323.66522097104,3009.38471526619
"20209","Wyandotte County, Kansas",155462,157505,157633,-94.7691804709418,39.1249143310897,160587.852533088,155693.861584768
"21001","Adair County, Kentucky",18542,18656,18757,-85.2951041195593,37.0905759450448,18637.4908542149,19114.3554312482
"21003","Allen County, Kentucky",19688,19956,20037,-86.1839461100074,36.7576736960974,19979.8658762723,20842.478919493
"21005","Anderson County, Kentucky",21080,21421,21470,-84.9935606515743,38.0004142677588,21507.0481218286,22400.8135653442
"21007","Ballard County, Kentucky",8225,8249,8260,-89.002375601275,37.0729706909259,8564.14700533845,8111.24948094255
"21009","Barren County, Kentucky",41685,42173,42116,-85.928432365179,36.9724301025253,42073.3099040091,43842.1879060077
"21011","Bath County, Kentucky",11565,11591,11618,-83.73501138336,38.1533696038217,11534.0918983128,11686.2179849676
"21013","Bell County, Kentucky",28793,28691,28709,-83.6757744008645,36.7259987590184,28713.2562954435,27520.5020951826
"21015","Boone County, Kentucky",114723,118811,119373,-84.7291042358176,38.9643268449476,118440.697236493,138192.072855296
"21017","Bourbon County, Kentucky",19947,19985,19965,-84.2111876239242,38.2059941175426,20075.6652410105,20076.1180091762
"21019","Boyd County, Kentucky",49330,49542,49602,-82.6773201308188,38.3632829779199,49576.2247346044,48838.2030242799
"21021","Boyle County, Kentucky",28245,28432,28674,-84.870006085771,37.6228354407358,28545.4139701128,28459.6115313988
"21023","Bracken County, Kentucky",8479,8488,8513,-84.0872046301352,38.6963500376401,8870.20740537345,8510.27760205263
"21025","Breathitt County, Kentucky",14202,13878,13857,-83.3159940787403,37.5253016577194,13913.7853282411,12661.0343931882
"21027","Breckinridge County, Kentucky",19893,20059,20043,-86.4352622714035,37.7852170819291,19905.8920310885,20571.0309036434
"21029","Bullitt County, Kentucky",72515,74319,74500,-85.6981551243346,37.9674352757048,73045.8637933806,80575.119468637
"21031","Butler County, Kentucky",12763,12690,12735,-86.6742777520498,37.2084992992402,12685.5456575369,12346.83631309
"21033","Caldwell County, Kentucky",12934,12984,13010,-87.8630539535392,37.1422990711994,13052.2811637931,12802.051335369
"21035","Calloway County, Kentucky",36763,37191,37348,-88.2703741291041,36.6248439738083,37068.3820760399,38267.2633294089
"21037","Campbell County, Kentucky",89016,90336,90623,-84.3749986703165,38.9519394406604,91242.3105876446,89895.7520648206
"21039","Carlisle County, Kentucky",5126,5104,5083,-88.9600183813299,36.8608627881585,5130.77658758033,4941.04355479103
"21041","Carroll County, Kentucky",10703,10811,10806,-85.1300420189888,38.6598833639435,10900.797085017,9794.52040501525
"21043","Carter County, Kentucky",27821,27720,27746,-83.0343414552332,38.3212206807965,27763.9495857656,27749.0355323104
"21045","Casey County, Kentucky",15939,15955,15984,-84.9384382286481,37.2991846093106,15960.1698383391,16002.3625901029
"21047","Christian County, Kentucky",72678,73955,74130,-87.4850311126676,36.8925485408412,73844.081394906,73694.0144502228
"21049","Clark County, Kentucky",35305,35613,35603,-84.1423435933685,37.970163211762,35528.319861494,36491.9043905626
"21051","Clay County, Kentucky",22197,21730,21660,-83.7101238984039,37.1650552291069,21798.1025711289,20164.8524384733
"21053","Clinton County, Kentucky",10161,10272,10244,-85.1378647079763,36.7298368722957,10323.340684697,10470.3078533572
"21055","Crittenden County, Kentucky",9313,9315,9297,-88.1007819346605,37.3523094966838,9530.37338009663,9177.36879731691
"21057","Cumberland County, Kentucky",6931,6856,6864,-85.3990067343723,36.7916341023038,6843.0272503905,6616.19760587165
"21059","Daviess County, Kentucky",95398,96656,96704,-87.0886232144527,37.7302919865639,96615.5383746233,98157.2087564057
"21061","Edmonson County, Kentucky",12086,12161,12228,-86.2354380181562,37.2112385844403,12205.8094804592,12307.4216992817
"21063","Elliott County, Kentucky",7493,7852,7843,-83.0971089202863,38.1157456477246,7836.50408340991,8318.00281096241
"21065","Estill County, Kentucky",14733,14672,14713,-83.9613222656233,37.6916330070411,14670.2137359399,14148.4654796416
"21067","Fayette County, Kentucky",288045,295803,296848,-84.4562043520196,38.0381960081888,293871.679922789,311645.12338213
"21069","Fleming County, Kentucky",14318,14348,14400,-83.6828573433973,38.3736774842966,14308.3415313065,14464.6952521919
"21071","Floyd County, Kentucky",39949,39451,39930,-82.736183370182,37.5640019937562,39389.385925957,37510.4746700549
